,Hazard,Causes,Impacts,Mitigation,Adaptation,Invalid
2026-04-18,11.700000000000003,0.0,0.0,0.0,0.0,0.0
2026-04-19,12.500000000000004,0.0,0.9,0.0,0.0,0.0
2026-04-20,3.6,0.0,0.0,0.9,0.0,0.0
2026-04-21,0.9,0.0,0.0,0.0,0.0,0.0
2026-04-25,0.9,0.0,0.0,0.0,0.0,0.0
2026-04-30,15.900000000000004,0.0,0.0,0.0,5.4,0.0
2026-05-01,9.000000000000002,0.0,0.0,0.9,0.0,0.0
2026-05-02,7.0,0.0,0.0,0.0,0.0,0.0
2026-05-03,10.800000000000002,0.0,0.0,0.9,0.0,0.0
2026-05-04,10.800000000000002,0.0,0.0,0.0,0.0,0.0
2026-05-05,14.400000000000004,0.0,0.0,0.9,0.0,0.0
2026-05-06,7.1000000000000005,0.0,0.0,2.7,0.0,0.0
2026-05-07,5.4,0.0,0.0,0.0,0.0,0.0
2026-05-08,3.6,0.0,0.0,0.0,0.0,0.0
2026-05-09,4.5,0.0,0.0,0.0,0.0,0.0
2026-05-10,6.300000000000001,0.0,0.9,0.0,0.0,0.0
2026-05-11,4.5,0.0,0.0,0.0,0.0,0.0
2026-05-12,3.6,0.0,0.0,0.0,0.0,0.0
2026-05-13,11.700000000000003,0.0,0.0,0.0,0.0,0.0
2026-05-14,15.000000000000005,0.0,0.0,0.0,0.0,0.0
2026-05-15,1.8,0.0,0.0,0.0,0.0,0.0
2026-05-16,3.6,0.0,0.0,0.0,0.0,0.0
2026-05-17,8.100000000000001,0.0,0.0,0.0,0.0,0.0
2026-05-18,11.700000000000003,0.0,0.0,0.0,0.0,0.0
2026-05-19,4.5,0.0,0.0,0.0,0.0,0.0
2026-05-20,7.1000000000000005,0.0,0.0,0.0,0.0,0.0
2026-05-22,0.9,0.0,0.0,0.0,0.0,0.0
2026-05-24,0.9,0.0,0.0,0.0,0.0,0.0
2026-05-27,7.200000000000001,0.0,0.0,0.9,0.0,0.0
2026-05-28,9.900000000000002,0.0,0.0,0.0,0.0,0.0
2026-05-29,23.89999999999999,0.0,0.0,0.9,0.0,0.0
2026-05-30,11.700000000000003,0.0,0.0,0.9,0.0,0.0
2026-05-31,26.69999999999999,0.0,1.6,1.8,0.0,0.0
2026-06-01,13.500000000000004,0.0,0.0,0.0,0.0,0.0
2026-06-02,7.000000000000002,0.0,0.0,1.8,0.0,0.0
2026-06-03,12.600000000000003,0.0,0.0,0.0,0.0,0.0
2026-06-04,31.799999999999983,0.9,0.0,6.200000000000001,0.0,0.0
2026-06-05,10.700000000000003,0.0,0.0,0.0,0.0,0.0
2026-06-06,3.6,0.0,0.0,0.0,0.0,0.0
2026-06-07,4.5,0.0,0.0,0.0,0.0,0.0
2026-06-08,5.4,0.0,0.0,0.9,0.0,0.0
2026-06-09,15.300000000000004,0.0,0.0,1.8,0.0,0.0
2026-06-10,19.7,1.8,0.0,0.0,0.9,0.0
2026-06-11,4.5,0.9,0.0,0.0,0.0,0.0
2026-06-12,3.5,0.0,0.8,0.0,0.0,0.0
2026-06-13,0.9,0.0,0.0,0.0,0.0,0.0
2026-06-14,0.9,0.0,0.0,0.0,0.0,0.0
2026-06-15,1.8,0.0,0.0,0.0,0.0,0.0
2026-06-16,9.900000000000002,0.0,0.0,0.0,0.0,0.0
2026-06-17,8.100000000000001,0.0,0.0,0.9,0.0,0.0
2026-06-18,9.900000000000002,0.0,0.8,1.8,0.0,0.0
2026-06-19,16.100000000000005,0.0,0.0,6.200000000000001,0.0,0.0
2026-06-20,14.400000000000004,0.0,0.8,3.6,0.0,0.0
2026-06-21,26.999999999999986,0.0,0.0,7.200000000000001,0.0,0.0
2026-06-22,7.200000000000001,0.0,0.8,1.8,0.0,0.0
2026-06-23,4.4,0.0,0.0,0.9,0.0,0.0
2026-06-24,0.9,0.0,0.0,0.0,1.8,0.0
2026-06-25,2.7,0.0,0.0,0.9,0.0,0.0
2026-06-26,7.100000000000001,0.0,0.0,0.9,0.0,0.0
2026-06-27,3.6,0.0,0.9,0.0,0.0,0.0
2026-06-28,17.6,0.0,0.8,1.8,0.0,0.0
2026-06-29,33.59999999999999,0.0,1.6,2.7,0.0,0.0
2026-06-30,16.100000000000005,0.0,0.0,0.0,0.0,0.0
2026-07-01,22.299999999999994,0.0,0.0,6.300000000000001,0.0,0.0
2026-07-02,3.5,0.0,0.0,0.0,0.0,0.0
2026-07-03,0.9,0.0,0.0,0.0,0.0,0.0
2026-07-04,2.7,0.0,0.0,0.0,0.0,0.0
2026-07-05,15.100000000000005,0.0,0.0,0.9,0.0,0.0
2026-07-06,0.9,0.0,0.0,0.0,0.0,0.0
2026-07-07,4.5,0.0,0.0,0.0,0.0,0.0
2026-07-08,0.0,0.0,0.8,0.0,0.0,0.0
2026-07-09,0.9,0.0,0.0,0.0,0.0,0.0
2026-07-10,2.6,0.0,0.0,0.0,0.0,0.0
2026-07-13,7.0,0.0,0.0,0.0,0.0,0.0
2026-07-14,17.300000000000004,0.8,0.9,0.9,0.0,0.0
2026-07-15,19.000000000000004,0.0,0.8,0.9,0.0,0.0
2026-07-16,14.200000000000003,0.0,0.0,0.0,0.0,0.0
2026-07-17,34.499999999999986,0.0,0.9,3.6,0.0,0.0
2026-07-18,17.700000000000006,0.0,0.0,0.9,0.0,0.0
2026-07-19,15.600000000000005,0.0,0.0,0.0,0.0,0.0
2026-07-20,4.5,0.0,0.0,0.0,0.0,0.0
2026-07-21,1.7000000000000002,0.0,0.0,0.0,0.0,0.0
2026-07-22,1.6,0.0,0.0,0.0,0.0,0.0
2026-07-23,1.8,0.0,0.0,0.0,0.0,0.0
2026-07-24,3.5,0.0,0.0,0.0,0.0,0.0
2026-07-25,1.8,0.0,0.0,0.0,0.0,0.0
2026-07-26,2.6,0.0,0.0,0.0,0.0,0.0
2026-07-27,1.7000000000000002,0.9,0.0,0.0,0.0,0.0
2026-07-28,0.0,0.0,0.8,0.0,0.0,0.0
2026-07-29,7.100000000000001,0.0,0.0,0.0,0.0,0.0
2026-07-30,2.7,0.0,0.9,0.0,0.0,0.0
2026-07-31,2.7,0.0,0.0,0.0,0.0,0.0
2026-08-01,1.7000000000000002,0.0,0.0,0.0,0.0,0.0
2026-08-02,0.9,0.9,0.0,0.0,0.0,0.0
2026-08-03,13.400000000000004,0.0,0.0,2.7,0.0,0.0
2026-08-04,7.200000000000001,0.9,0.8,0.9,0.0,0.0
2026-08-05,7.200000000000001,0.0,0.0,0.9,0.0,0.0
